name,alias,smell,cure
水龟,玄衣督邮。：神屋、败、败将、漏天机。,龟甲：甘、平、有毒。肉：甘、酸、温、无毒。,龟甲：1、阴虚血弱。用龟甲（炙熟）、地黄（九蒸九晒）、黄蘖（盐水浸炒）、知母（酒炒）各四两，在石器内研为末，加猪脊髓和丸，如梧子大。每服百丸、空心温酒下。一方：与上方同，但去地黄，加五味子（炒）一两。2、疟疾不止。用龟甲烧存性，研为末。每服一匙，酒送下。
玳瑁,暂无,（甲）甘、寒、无毒。,1、预解痘毒。用生玳瑁、生犀角各磨汁一合，和匀，取半合温服。一天服三次。在痘疮流行时服此，病未发则内消，病已发则减轻。2、痘疮黑陷（乃心热血凝所致）。用生玳瑁，生犀角，同磨汁一俣，加猪心血少许、紫草汤五匙，和匀温服。3、锓风目泪（乃心肾虚热所致）用生青玳瑁、羚羊角各一两，石燕子一双，共研为末，每服一钱，薄荷汤送下。一天服一次。
鳖,团鱼、神守。,：咸、平、无毒。肉：甘、平、无毒。,鳖甲：1、老疟劳疟。用鳖甲醋炙、研末，每服一匙，酒送下。隔夜一服，清早一服，病发时一服，加雄黄少许更有效。2、奔豚气痛，上冲心胜利。用鳖甲（醋炙）三两、亦三棱（煨）二两、桃仁（去皮尖）四两，加醋煎如糖浆，以瓶收存，每服半匙，空心服，酒送下。
蟹,郭索、横行介士、无肠公子。雌名：博带。,咸、寒、有小毒。,杀毒，解毒、漆毒，治疟及，捣成膏兴、疮。捣出汁滴。
牡蛎,牡蛤、蛎蛤、古贲。,咸、平、微寒、无毒。,1、心脾气痛，有痰。用牡蛎煅成粉，酒送服二钱。2、疟疾寒热。用牡蛎粉、杜仲，等分为末，加蜜做成丸子，如梧子大。每服五十丸，温水送下。3、气虚盗汗。用牡蛎粉、杜仲，等分为末。每服一匙，酒送下。
蚌,（亦称蛤粉）咸、寒、无毒。,暂无,1、痰饮咳嗽。用蛤粉在新瓦上炒红，加青黛少许，每服二钱，淡齑水（滴入麻油数点）调服。2、反胃吐食。用蛤粉二钱，和生姜汁一碗捣匀，米醋调服。不效再服。3、痰疽赤肿。用蛤粉调醋涂搽。药干即换。
真珠,珍珠、珠。,咸、甘、寒、无毒。,1、安神。用真珠末如豆大一团。蜂蜜调服。一天服三次。2、妇女难产。用真珠末一两，酒送服。立产。3、胞衣不下。用真珠一两，研为末，苦酒送服。
石决明,九孔螺。壳名。,（壳）咸、平、无毒。,1、畏光。用石决明、黄菊花、甘草各一钱，水煎，冷后服。2、痘后目翳。用石决明火煅过，研为末，加谷精草等分，共研细，可烤猪肝蘸吃。3、肝虚目翳（气虚、血虚、肝虚，眼睛充血，夜如鸡啄，生出浮翳）。用石决明（烧成灰）、木贼（焙），等分为末。每取二钱，与姜、枣同用水煎，连渣服下。每天服三次。
海蛤,暂无,苦、咸、平、无毒。,1、水肿满。有海蛤、杏仁、汉防己、枣肉各二两、葶苈六两，共研为末，做成丸子，如梧子大。每服十丸，以有水排出为度。2、水肿发热，小便不能通。用海蛤、木通、猪苓、泽泻、滑石、黄葵子、桑白皮各一钱，灯心三分，水煎服。一天服二次。此方名“海蛤汤”3、腹水肿肛，四肢枯瘦。用海蛤（煅成粉）、防己各七钱半，葶苈、赤茯苓、桑白皮各一两，陈桔皮、随李仁各半两，共研为末，加蜜做成丸子，如梧子大。每服五十丸，米汤送下。一天服二次。此方名“海蛤丸”。
蛤蜊,暂无,肉：咸、冷、无毒。：咸、寒、无毒,1、气虚水肿。用大蒜十个捣成泥，加蛤蜊粉调成丸子，如梧子大。每服二十丸，饭前服，开水送下。积水由小便排出，即愈。2、白浊遗精。用蛤蜊粉（煅）一斤、黄蘖（新瓦炒过）一斤，共研为末，滴水做成丸子，如梧子大。每有一百丸，空心服，温酒送下。一天服二次。3、雀目、青盲。有蛤昨粉炒黄，研为末，加油蜡化和做成丸子，如皂角子大，放入猪腰子中，扎定，蒸吃。一天吃一次。
车渠,海扇,（壳）甘、咸、大寒、无毒。,，解药毒及虫螫毒。加等分，磨人乳服下
贝子,白贝、海。,咸、平、有毒。,1、目花翳痛。有贝子一两，烧研成粉，加龙脑少许点眼。若有息肉，再加真珠末等分。2、鼻渊脓血。用贝子烧研，每服二钱，酒送下。一天服三次。3、大便不通。用贝子三个、甘遂一钱五分，共研为末，浆水调下，不久即通。
淡菜,壳菜、海、车海夫人。,甘、温、无毒。,腹内冷痛、结块、崩中带下，，止痢，消宿食，治瘿气。
田螺,暂无,肉：甘、大寒、无毒。壳：甘、平、无毒。,1、消渴饮水（日夜不止，小便频数）。用田螺五升，在水一斗中浸一夜，渴即取此水饮用。每日换水及田螺一次。用田螺煮食饮汁亦可。2、肝热目赤。用大田螺七个，洗净，在水中养去泥秽。换水一升，再次浸洗，取出放碗中加盐少许。从壳内吸自然汁点眼。3、烂弦风眼。治方同上，但以铜绿代盐。
蜗螺,烂壳名鬼眼睛。,甘、寒、无毒。,1、黄疸、酒疸。用不螺蛳养去泥土。每天煮食饮汁，有效。2、黄疸吐血（病后，身、面皆黄，吐血很我，诸药不效）。用螺蛳十个，水漂去泥，捣烂，露一夜，称明时，取汁水取二、三次。血止即愈。3、五淋白浊。用螺蛳一碗，连壳炒热，加白酒三碗，煮成一碗，挑螺肉吃，即以所煮酒关定。数次即效。
