name,alias,smell,cure
白垩,亦名白善土、白土粉、画粉。，到处都有，入药须用白色者。先研捣极细，然后放到盐汤里，浮在水而上的，,苦、湿、无毒。,1、流鼻血。白恶二钱，井水调服。二付断根。2、水泄。煅白恶、炮干姜各一两，楮叶二两，共研为末，做成丸子，如绿豆大。每服二十丸，米汤送下。3、反胃。白垩煅红，放在一升米醋中浸过，再煅再渍，直到醋干为止。取这样处理过的白垩一两，加炮干姜两钱半，共研成末，每服一钱，最后连服到一斤以上。
黄土,入地三尺以下的，勿沾污物，可作药。,甘、平、无毒。,赤白痢，腹内热毒绞痛，下血。取干土，水煮开三五遍，沉淀去滓，暖服一二升。黄土又解诸药毒。如中肉毒、合口椒毒、野菌毒等。治小儿乌纱惊风（惊风一种，全身现乌黑色）。用黄土一碗、陈醋一杯，同炒。炒热后，用布包好，熨小儿全身，直达脚下，刺破为宜。眼睛突然看不见东西。用黄土溶水中，取上面清液洗眼。肉痔肿痛。用向阳的黄土、黄连、皮硝各一两，调猪胆汁，同研如泥，做成枣大团丸，塞进肛门里。过一夜，团丸随大便排出。用药时，须内服乌梅黄连二味丸。跌打损伤。用黄土五升，蒸热，分两包轮换熨伤处。勿使包冷，但也不宜太热，恐烫伤皮肉。此方神效，跌至气绝欲死者，往往可以救活。蜈蚣或其他毒虫螫伤。取黄土掺敷或用醋调土涂擦。
东壁土,古旧房屋东边墙上的土，叫。,甘、湿、无毒。,1、突然心痛。用陈年东壁土、枯矾各二钱，共研为末，制成密丸，艾汤冲服。2、吐泻烦闷，药物中毒，中乌头毒等。用陈年东壁土煮汁饮下。3、目中翳膜。用东壁土细末每日点膜上，以泪出为好。
胡燕窠土,胡燕窠土，就是屋梁上构成胡的土。燕子选土，既粘又细，其中还加了燕子的，能作药用。,暂无,暂无
土蜂窠,巢，即细腰蜂巢。,甘、平、无毒。,1、难产。用土蜂窠泡开水，稍冷饮之。2、肿毒痛如火烧。用土蜂窠调醋涂之。又法：用川乌头和土蜂窠等分。肿毒未成脓则消，已成脓则早破。3、疔疮。用煅过的土蜂窠和烧过的蛇皮等分，酒冲服。每服一钱。
蜣螂转丸,，俗称推屎虫。，亦名土硝。,咸苦、大寒、无毒。,时气、烦热、吐泻、项瘿（）以及一切瘘疮等。
蚁垤土,垤，音迭，土堆之意。，又名“蚁封”。,暂无,1.治孤刺疮。取土七粒和醋涂搽。2.死胎在腹，或胞衣不下。取蚁垤土三升，装布袋中，拓在产女胸下，死胎或胞衣自出。
白蚁泥,暂无,暂无,用土上的，同一起炒，炒黑后，研细，和香油涂搽恶疮肿毒，有效。
蚯蚓泥,名亦名蚓蝼、六一泥、粪、粪,甘、酸、寒、无毒。,1、热疟（恶寒轻，发烧重）。用蚯蚓泥和面，做成丸子，如梧子大，朱砂为衣（丸子做成，在朱砂中滚一下）。每服三丸。忌食生冷。在蚯蚓泥里，加菖蒲末和独蒜做成丸子，亦有效。2、伤寒谵语。用蚯蚓泥，凉水调服。3、小便不通。用蚯蚓泥、朴硝等分，水调成膏，敷在脐下，即通。
乌爹泥,亦名、乌垒泥。制法：用细茶末装入筒中，坚塞两头，埋污泥沟中，日久取出，捣出，捣汁熬制，即成乌,苦、平、无毒。,1、鼻渊（鼻孔里常流清涕）。用乌爹泥末吹进鼻孔。2、牙疳口疮。用乌爹泥、硼砂等分，研末搽患处。又法：用乌爹泥、雄黄、贝母等分，研末，米泔洗净患处后涂搽。3、下疳阴疮。用乌爹泥末，米泔洗净患处后，涂搽。又方：乌爹泥一钱，真珠一分，片脑半分，共研为末，涂搽。
伏龙肝,指灶里正对锅底的，亦名。,辛、微湿、无毒。,1、突然昏倒。用伏龙肝研末，一鸡蛋大的分量冲水服，引起呕吐。2、中风口噤（口不能言，心神恍惚，手足不能随意运动；或腹中痛满，时而晕绝）。用伏龙肝五升，加水八升，搅清后取上层饮之。3、神智狂乱，不能识人。用伏龙肝研末，水冲服一茶匙。一日服三次。
土墼,墼，音急。亦名煤赭。这是烧窑中流结的土渣。质轻，色赭。,暂无,1、治妇女鳖瘕（肿起如盘，不能躺卧，好象有鳖伏在身上一般），头上诸疮，红肿痰核等。用土研成细末，调菜油涂搽。肿渐消去，或破口流脓，病自痊愈。
白瓷器,平、无毒,暂无,1、鼻血不止。用定州白瓷细末，吹少计入鼻，血立止。2、吐血不止。用上等白瓷研末二钱，皂荚子仁煎汤送下。三付即愈。3、小便淋痛。用真定白瓷，煅过，研末二两，生、熟地黄末各一两，每服二钱，木通煎汤送下。
乌古瓦,甘、寒、无毒。,暂无,中暑骤死。急取两块古瓦，烧热慰心头，冷了就换热瓦。
古砖,暂无,暂无,暂无
烟胶,胶是熏消的灶上黑土及烧瓦窑上的黑土。,暂无,暂无
