name,alias,smell,cure
李,果实：苦、酸、微温、无毒。：苦、平、无毒。根（树皮刮去外层皱皮后炙黄入药）：大寒、无,暂无,果实：肝病人宜食。核仁：利小肠，下水气，消浮肿。根白皮：煮汁服，止消渴，治赤白痢及赤白带；煎水含漱，治齿痛。
杏,甜梅。,甘、苦、温、冷、利，有小毒。,1、咳嗽寒热。用杏仁半两，去皮尖，在童便中浸七日，取出，温水淘洗，研如泥，加童便三升煎如膏。每服一钱，熟水送下。2、上气喘急。有杏仁、桃仁各半两，去皮类，炒研，加水调生面和成丸子，如梧子大。每服十丸，姜蜜汤送下。以微泻为度。3、喘促浮肿，小便淋沥。用杏仁一两，去皮尖，熬后磨细，和米煮粥，空心吃二合。
巴旦杏,八担、忽麻。,甘、平、温、无毒。,止咳下气，消心腹逆闷。
梅,（生梅、青梅）酸、平、无毒。（，即青梅熏黑者）酸、温、平、涩、无毒。（、盐梅、霜梅）,暂无,1、痈疸疮肿。用盐梅烧存性，研为末，加轻粉少许，以香油涂搽患处四围。2、喉痹乳蛾。用青梅二十枚、盐十二两，淹五天；另用明矾三两，桔梗、白芷、防风各二两，皂荚三十个，共研为末，拌梅汁和梅，收存瓶中。每取一枚，噙咽津液。凡中风普厥，牙关不开，用此方牙，很有效。3、泄痢口渴。用乌梅煎汤代茶喝。
榔梅,暂无,（实）甘、酸、平、无毒。,生津止渴，清神下气，消酒。
桃,枭：桃奴、枭景、神桃。,核仁：苦、甘、平、毒。桃枭（桃实在树上经冬不落者）：苦、微温、有小毒。桃花：苦、平、无毒。,1、半身不遂。用桃仁二千七百枚，去皮类及双仁，放好酒一半三升中浸二十一天，取出晒干，捣细作成丸子，如梧子大。每服二十丸，以原酒送下。2、上气咳嗽，胸满气喘。有桃仁三两，去皮尖。加水一程式研汁，和粳米二合煮粥食。3、尸疰鬼疰（按：即肺结核）。用桃仁五十枚，研成泥，加水煮取四升取吐。
栗,（实）咸、温、无毒,暂无,暂无
乌芋,茈、凫茨、、黑、芍、地栗。,（根）甘、微寒、滑、无毒。,1、大便下血。有荸荠捣汁大半杯，加好酒半杯，空心温服。几天后好见效。2、赤白痢。取完好荸荠洗净拭干，勿令破损，泡入好酒中，密封收存。用时取二枚细嚼，空心用原酒送上。3、妇女血崩。按病人年龄一岁用乌芋一个，烧存性，研为末，酒冲服。
梨,快果、果宗、玉乳、蜜父。,（实）甘、微酸、寒、无毒。,1、消渴。用梨捣取汁，加蜜水同熬，收存瓶中。每次以热水或冷水调服，直至病愈。2、咳嗽。用好梨去核，捣汁一碗，放入椒四十粒，煎开，去渣，加黑饧一两，待化匀后，细细含咽。又方：用梨一个，刺五十孔。每也放椒一粒，裹一层面在灰火内煨熟，冷定后去椒食梨。3、痰喘气急。用梨挖空。装入小黑豆填满，留盖合上捆好，放糠火中煨熟，捣成饼。每日食适量，甚效。
木瓜,名茂,酸、温、无毒。,1、项强筋急，不可转侧。用木瓜二个，取盖去瓤，填入温柔药二两、乳香二钱半，盖严，捆好，蒸烂，捣成膏。每用三钱，以生地黄汁半碗、酒二碗暖化温服。2、脚筋挛痛。用木瓜数枚，加酒水各半煮烂，捣成膏乘热贴痛处，外用棉花包好。一天换药三、五次。3、霍乱转筋。用木瓜一两、酒一升，煮服。不饮酒者煮汤服。另外还用煎激发热敷足部。
楂子,木、和圆子,酸、涩、平、无毒,断痢，去咽酸。煮汁饮，治，功与相近。
枣,暂无,甘、辛、热、无毒。,1、调和胃气。用干枣去核，缓火烤燥，研为末，加少量生姜末，开水送服。2、反胃吐食。用大枣一枚去核，加斑蝥一个去头翅，一起煨熟，去斑蝥，空心服，开水送下。3、伤寒病后，口干咽痛、喜唾。用大枣二十枚、乌梅十枚，捣烂，加蜜做成丸仓，口含咽汁，甚效。
山楂,赤、楂、猴楂、茅楂、还球、棠球子、山里果。,酸、冷、无毒,1、食肉不消。用山楂肉四两，水煮食，并饮其汁。2、偏坠疝气。用山楂肉、茴香（炒）各一两，共研为末，加糊做成丸子，如梧子大。每服一百丸，空心服，白开水送下。3、老人腰痛及腿痛。用山楂、鹿茸（炙），等分为末，加蜜做成丸子，如梧子大。每服百丸，一天服二次。
林檎,来禽、文林郎果。,酸、甘、温、无毒。,1、水痢不止。用林檎半熟者十枚，加水二升，煎成一升，连林檎一起吃下。2、小儿下痢。用林檎、构子同捣汁，任意饮服。3、小儿闪癖（头发竖立，发黄，全身瘦弱）。用干林檎脯研为末和醋涂患处。
柿,暂无,烘：甘、寒、涩、无毒。白柿、：甘、平、涩、无毒。乌柿：甘、温、无毒。：涩、平、,1、肠风下血。用白柿烧灰，水送服二钱。2、小便血淋。有干柿三枚，烧存性，研为末，陈米汤送服。3、热淋涩痛。用干柿、灯心等分，水煎，每日饮服。
榲柏,暂无,酸、甘、微温、无毒,温中，下气，消食，止渴，散气。
橘,实：甘、酸、温、无毒。黄：辛、苦、温、无毒。青橘皮：苦、辛、温、无毒。,暂无,橘叶：消肿散毒。治肺痈、乳痈、胁痛。橘瓤上筋膜（橘络）：口渴吐酒。炒熟煎激发饮，甚效。（按：现用以治痰滞经络、咳嗽、胸胁作等症。）
柑,木奴。,甘、大寒、无毒。,利中，利小便，治难产。
橙,金毯、鹄壳。,酸、寒、无毒。,洗去酸汁，切细，用盐、蜜调合，煎好收存，止，去胃中浮风恶气。
安石榴,若榴、丹若、金罂。,甘：苦、酸、温、涩、无毒。：酸温、涩、无毒。酸榴皮：酸、温、涩、无毒。,甘石榴：咽喉燥渴，杀虫。酸石榴：1、肠滑久痢。有石榴一个，煅烟尽，出火毒一夜，研为末，以酸榴一块煎汤送下，神效无比。此方名：“黑神散”。
枸橼,、。,（皮瓤）辛、酸、无毒,煮饮，治痰气，煎汤，治心下。
枇杷,实：甘、酸、平、无毒。叶：苦、平、无毒。,暂无,实：止渴下气，利肺气，止吐逆。
杨梅,求。,（实）酸、甘、温、无毒。,1、下痢不止。用杨梅烧过，研为末，每服二钱，米汤送下。一天服二次。2、头痛不止。用杨梅为末，以少许入鼻取嚏，有效。3、一切损伤止血生肌。用盐藏杨梅和核捣如泥，做成小块收存。凡遇破伤，好以小块研末敷涂，甚效。
柚,名条、壶、自、朱栾。,酸、寒、无毒。,消食，解毒，去气。
银杏,名、鸭脚子。,（）甘、苦、平、涩、无毒。,1、寒嗽痰喘。用白果七个煨熟以熟艾作成七丸，每果中放入艾丸一颗，纸包再次煨香，去艾吃下。2、哮喘痰嗽。用白果五个、麻黄二钱半、甘草（炙）二钱，加水一杯半，煎至领先成，临星时服。此方名“鸭掌散”。又方：白果二十一个（炒黄），麻黄三钱，苏子二钱，款冬花、法半夏、桑白皮（蜜炙）各二钱，杏仁（去皮尖）、黄芩（微炒）各一钱半，甘草一钱，加水三杯，煎成二杯，随时分作二次服下，不用姜。3、咳嗽失声。用白果仁四两，白茯苓、桑白皮各二两，乌豆半升（炒），蜜半斤，一起煮熟，晒干为还想，以乳汁半碗拌湿，九蒸九晒，做成丸子，如绿豆大，每服三、五十丸，开水送下。极效。
胡桃,羌、。,（）甘、平、温、无毒。,1、肾亏溢精。用胡桃肉、白茯苓各四两，附子一枚（去皮切片），与姜汁、蛤粉一起，焙干研末，加蜜做成丸子，如梧子大。每服三十丸，米汤送下。2、小便频数。用胡桃煨熟，卧时嚼服，温酒送下。3、石淋。用胡桃肉一升，细米煮，另煮浆粥一升，一并服下。
榛子,（仁）甘、平、无毒。,暂无,益气力，实肠胃。
樱桃,莺、含桃、荆桃。,甘、热、涩、无毒,调中、益脾、止痢。
橡实,橡斗、皂斗、栎、柞子、茅、栩。,实：苦、微温、无毒。斗壳：涩、温、无毒。木皮：苦、平、无毒。,实：1、下痢。用橡实二两、楮叶（炙）一两，共研为末，每服一钱，饭前服，乌梅汤调下。2、血痢。治方同上，加缩砂仁半两。
槲实,槲、朴、大叶栎、栎子。,仁：苦、涩、平、无毒。橡槲若：甘、苦、平、无毒。槲木皮：苦、涩、无毒,仁：蒸煮作粉，涩肠止痢，功同橡子。槲若：1、突然吐血。用槲叶研为末，每服二钱，加水一碗煎至七成，连渣吞服。
荔枝,离枝、丹荔。,实：甘、平、无毒。核：甘、温、涩、无毒。,实：1、痘疮不发。有荔枝肉浸酒饮，肉亦吃下。忌生冷。2、风牙疼痛。用荔枝连壳烧存性，研末擦牙即止。
阿月浑子,（仁）辛、温、涩、无毒,暂无,腰冷，肾虚萎弱，止痢。木皮煎汁洗浴，可治湿
橄槛,、忠果、谏果。,实：酸、甘、温、无毒。榄仁：甘、平、无毒。核：甘、涩、温、无毒,实：1、中河豚毒。取橄榄及木煮水服可解。2、唇裂生疮。用橄榄炒研，调猪油涂搽。
榧实,赤果、、玉山果。,甘、平、涩、无毒。,1、杀体内寄生虫。用榧子一百枚，去皮，炒熟吃。胃弱的人，用量减半。2、令发不落。用榧子三个、胡桃二个、侧柏叶一两，捣烂浸雪水中，梳头发。3、突然吐血。先吃蒸饼两、三个，以榧子为末，开水送服三钱。一天服三次。
