name,alias,smell,cure
露水,在秋露重的时候，早晨去花草间收取。,甘、平、无毒。,用以煎煮润肺杀虫的药剂，或把疥、虫癞的调成外敷药，可以增强疗效。白花露：止消渴。百花露：能令皮肤健好。柏叶露、菖蒲露：每天早晨洗眼睛，能增强视力。
明水,名亦称方诸水。方诸是一种大的名字。月明之夜，捕得方诸，取其壳中贮水，清明纯洁，即是方诸水。,甘、寒、无毒。,用以洗眼，可以去雾明目，饮此水，还有的作用，亦去小儿烦热。
冬霜,取霜法：用鸡毛扫取，装入瓶中，密封保存于阴凉处，虽成水液，历久不坏。,甘、寒、无毒。,饮冬霜可解酒热，凡酒后面热耳赤者，饮之立消。伤寒鼻塞，饮冬霜亦可通鼻。暑天长痱子及腋下红肿，用冬霜和蚌粉涂敷，有效。
腊雪,取雪法：用鸡毛扫取，装入瓶中，密封保存于阴凉处，虽成水液，历久不坏。,甘、冷、无毒。,用瓶密封贮存，放阴凉处，数十年也不坏。腊雪有益于菜麦，又能杀虫蝗，用以浸种，则耐旱而不生虫，洒家具上，能驱苍蝇，淹藏一切水果和食品，昆可免蛀害。春归有虫，雪水容易腐败，不能入药。
夏冰,亦名凌。,甘、冷、无毒。,去热烦，熨乳石发肿，解暑毒和烧毒。阳毒，热盛者，用冰一块放在有效。冬天掘冰窖藏冰，备夏日之用。身上，用时时熨抹，能消去。
半天河,亦称上池水。指取自篱头或空树的水而言。,甘、微寒、无毒。,鬼疰（疰，音住，意亦同住。鬼疰，是病人感到自己体内有“鬼”居住。现认为是之类的），扫、恶毒、蛊疾（“心志惑乱之疾”，失常，大便时常拉出样的血块。现认为是“虫积”之症）等。洗各种恶疮、疥痒，亦有效。身上长，可取树木孔中的水来洗，捣烂桂末和敷上，有效。
流水,亦名劳水、甘烂水、扬泛水。取江水或河水二斗，置大盆中，用一个瓢，舀水高扬倒下，如此重复许多遍，直到水。,甘、平、无毒。,治目不得瞑（阻虚，睡不着，眼睛闭不住）。用劳水五升、米一升、五合，小火慢煮，煮到只剩一升水时，去滓，饮汁，每饮一小杯。一日三次。治汗后（误服药，引起小肚子胀痛，有气上冲，“如之奔突”，故名奔豚）：
井泉水,井水因来源不同，可以分为几类：远从地下泉来的，水质最好；从近处江湖渗进来的，属于次等；有城市沟渠污水。,甘、平、无毒。,酒后热痢，洗目中翳障，除口臭，镇心安神。
醴泉,亦名甘泉。泉水略有淡味。,甘、平、无毒。,心，疰忤（即鬼疰，见“”条下），，，等。治病以新汲水为好。《瑞应图》说：常饮，令人长寿。《东观记》说：常饮醴泉，可除痼疾（久病）。
温汤,亦名、沸泉。种类甚多。有泉，比较常见；有泉砂泉，见于新安黄山；有泉，见于西安骊山。,辛、热、微毒。,筋骨挛缩，肌皮顽痹，手足不遂，眉发脱落以及各种疥等症。上列气味与主治，主要是就硫磺泉而言，其他温泉，大都无毒（含砒石的温泉除外），即可烹茶，洗浴亦好。
盐胆水,亦名卤水。煮盐初熟时，槽中沥下来的一种黑色浓汁。味苦，不能吃。可用它做。,咸、苦、有大毒。,各种虫蚀病，颈瘘（），疥，等。
阿井泉,也是一种井水。,甘咸、平、无毒。,逐痰下降（即治逆痰），下胸胃淤浊，止吐。
地浆,掘地，达到层，约三尺深，用新汲水灌入，搅浊，等水沉清后，取消水用。这就是，亦称“土浆”。,甘、寒、无毒。,解烦闷，解一切鱼菜诸菌毒。例如吃、过多，吃没有煮熟的，误吃等，都会中毒，饮地浆可解。有些病人，在服人含有的药剂后，如吃黄鱼，也会中毒，用地浆做解药，有效。得“干”症（欲吐吐不出，上膨下胀，闷苦万分）的人，饮地浆三至五杯，禁忌米汤，可以治好。
热汤,亦名百沸汤、麻沸汤、太和汤。,甘、平、无毒。,（以器装汤熨烫患部，又把足底汤热，汤冷须换热），，肿，火眼赤乱，虿咬伤等。
浆水,亦名。煮熟后，放在冷水里，浸五、六天，味变酸，面上生白花，取水作药用。但浸至败坏，则水有害。,甘酸、微温、无毒。,（煎饮用），过食腊肉，致筋痛肚闷（浆水煎粥吃，加少量老屎，效果更好），（浆水加盐泡患处，水冷应换热），脸上黑（每夜用热的浆水洗脸，再用布揩红，以香磨汁涂擦），骨鲠在咽（经火煅淬后，加焙过的陈和多年浆水脚，做成丸子，如芡子大，每次含咽一丸）。浆水还能调中引气，止渴，解烦去睡，调理，利小便。
