name,alias,smell,cure
甘草,亦名蜜甘、蜜草、美草、草、灵通、国老。,（根）甘、平、无毒。,1、伤寒咽痛（少阴症）。用甘草二两，蜜水灸过，加水二升，煮成一升半。每服五合，一天服两次。此方名“甘草汤”。2、肺热喉痛（有灸热）。用炒甘草二两、桔梗（淘米水浸一夜）一两，加入阿胶半斤。每服五钱，水煎服。3、肺痿（头昏眩，吐涎沫，小便频数，但不咳嗽）。用灸甘草四两、炮干姜二两，水三升，煮成一半，分几次服。此方名“甘草干姜汤”。
黄芪,亦名戴糁、戴椹、草、百本、王孙。（“芪”原作为“耆”）。,（根）甘、微温、无毒。,1、小便不通。用黄芪二钱，加水二碗，煎成一碗，温服。小儿减半。2、酒疸黄疾（醉后感寒，身上发赤、黑、黄斑）。用黄芪二两、木兰一两，共研细。每服少许。一天服三次，酒送下。3、白浊。用盐炒黄芪半两、茯苓一两，共研细。每服一钱。
人参,亦名黄参、、人衔、、神草、土精、地精、海腴、皱面还丹。,（根）甘、微寒、无毒。,1、阴亏阳绝之症（昏眩、自汗、痰鸣、脉大）。用人参十两细切，加水二十碗浸透，以桑柴火缓煎成膏。每服一至三碗。持续服至病愈。以方名“人参膏”。2、胸中痞坚，胁下逆气抢心。用人参、白术、干姜、甘草各三两，加水八升，煎至三升。每服一升，一天服三次。此方名“治中汤”（理中汤）。3、脾胃气虚，不思饮食。用人参一钱、白术二钱、茯苓一钱、灸甘草五分、姜三片、枣一枚，加水二杯，煎至一杯，饭前温服。此方名“四君子汤”（按：各药分量在此方中不再折扣）。
沙参,亦名婆奶、铃儿草、须、苦心。,（根）苦、微寒、无毒。,1、肺热咳嗽。用沙参半两，水煎服。2、突然发疝（小腹及阴中绞痛，自法出，几欲死）。用沙参研细，每服一茶匙，酒送下。3、妇女白带。用沙参研细，每服二钱，米汤送下。
荠苠,读如齐尼。亦名参、杏叶、甜、白面根。苗名隐忍。,（根）甘、寒、无毒。,1、强中、消渴（男子出精后，阴茎仍然坚挺，称为“强中”；如同时有多饮多便现象，即属“消渴”，能发痈疽）。用猪肾一个，黑大豆一升，加水一斗半，煮成一半。去渣留汁，再加荠、石膏各三两，人参、茯苓、磁石、知母、葛根、黄芩、栝楼根、甘草各二两，同煮汁至三升。分三次服。此方名“石子荠汤”。又方：荠、大豆、茯苓、磁石、栝楼根、熟地黄、地骨皮、玄参、石斛、鹿茸各一两，人参、沉香各半两，共研细，加煮烂的猪肚子，捣匀成丸，如梧子大。每服七十丸，空心服，盐水送下。此方名“荠丸”。2、疔疮肿毒。用生荠根捣汁内服，外用药渣敷疮。三次可愈。3、脸上黑泡。用荠、肉桂各一两，研细。每服一茶匙，醋汤送下。
桔梗,亦名、梗草、荠。,（根）辛、微温、有小毒。认为：“当以苦、辛、平为”。,1、胸满不痛。用桔梗、枳壳等分。煎水二杯，成一杯，温服。2、伤寒腹胀（阴阳不和）。用桔梗、半夏、陈皮各三钱，生姜五片，煎水二杯，成一杯服。此方名“桔梗半夏汤”。3、痰嗽喘急。用桔梗一两半，研细，用童便半升，煎成四合，去渣后温服。
长松,亦名仙茆。生古下，根色如荠，味似。,（根）甘、温、无毒。,长松一两五钱，熟地黄八钱，生地黄、黄芪（蜜灸）、陈皮各七钱，当归、厚朴、黄各五钱，白芍药（煨）、人参、枳壳各四钱，苍术（米泔制）、半夏（制）、天门冬、麦门冬、砂仁、黄连各三钱，木香、蜀椒、胡桃仁各二钱，小红枣肉八个，老米一撮，灯心（五寸长）一百二十根。以上为一料，分成十剂收存。另取米五升，造酒一碗，煮一份药。经过一段时间后饮药酒。
黄精,亦名黄、戊已芝、菟、竹、仙人余粮、救穷草、米铺、野、、鸡格、御、垂珠。,（根）甘、平、无毒。,1、补肝明目。用黄精二斤、蔓菁子一斤，共同九蒸九晒，研为细末。每服二钱，米汤送下。常服有延年益寿的作用。2、大风癞疮（风邪入血，日久成癞，鼻坏色败）。用黄精去皮，洗净，取二斤晒干，放在米饭上蒸到饭熟时，把药保存好，经常服食。3、脾胃虚弱，体倦乏力。用黄精、枸杞子等分，捣碎作饼，晒干研细，炼蜜调药成丸，如梧子大。每服五十丸，开水送下。
萎蕤,亦名女萎、葳蕤、萎、委萎、萎香、荧、、地节。,（根）甘、平、无毒。,1、眼红兼有涩、痛。用萎蕤、赤芍、当归、黄连等分，煎汤熏洗。2、眼见黑花，红痛昏暗。用萎蕤（焙）四两，每取二钱，略加薄荷、生姜、蜂蜜，同煎汤。睡前温服，一天服一次。此方名“甘露汤”。3、小便淋。用萎蕤一两、芭蕉根四两、滑石二钱，水煎，分三次服。
知母,亦名母、、母、货母、地参、水参（水须、水浚）、荨、藩、苦心、心草。,（根）苦、寒、无毒。,1、痰嗽。用知母、贝母各一两，研细：巴豆三十枚，去油，研匀。每夜，切生姜三片，二面蘸上药末，放在口里细嚼咽下，随即睡觉。次日必泻，痰嗽渐止。体弱者，不用巴豆。2、久嗽气急。用知母五钱（去毛切片，隔纸炒过）、杏仁五钱（姜水泡，去皮尖，焙过），同煎服。另以萝卜子、杏仁，等分为末，加米糊做成丸子。每服五十丸，姜汤送下，以绝病根。3、妊娠不足月，腹痛欲产。用知母二两，研细，和蜜做成丸子，如梧子大。每服二十丸，米粥送下。
