name,alias,smell,cure
韭,草钟乳、起阳草。,：辛、微酸、温、涩、无毒。：辛、甘、温、无毒。,1、胸痹急痛（痛如锥刺，不能俯仰，自汗）。用生韭或根五斤，洗净捣汁服。2、阴阳易病（男子因房事不慎，引起阴部肿大，小腹绞痛，头重眼花）。用鼠尿十四粒、韭根一大把，同煮开，去渣，再煮开二次，温服，得汗即愈，无汗可再服一剂。3、伤寒劳复（按：指伤寒病后，身体未复原而性交，引起旧病复发）。治方同上。
葱,芤、菜伯、和事草、。,（茎白）辛、平；叶温；根、须、汁并无毒。,1、感冒同寒。用葱白一把、淡豆豉半合，泡汤服，取汗。2、伤寒头痛。用连须葱白半斤、生姜二两，水煮，温服。3、风湿身痛。用生葱捣烂，加香油几点，水煎，调川芎、郁金末各一钱服。引吐为好。
薤,名叫，钓子、火、菜、鸿荟。,（）辛、苦、温、滑、无毒。,1、胸痹（胸痛彻心，喘咳气短，喉中燥痒，寸脉沉迟，关脉弦数）。用栝楼实一枚、薤白半斤，加白酒七升煮成二升，分二次服。此方名“栝楼薤白汤”。又方：薤白四两，半夏一合，枳实半两，生姜一两，栝楼实半枚，切细，加醋煎服。2、奔豚气痛。用薤白捣汁饮服。3、赤白痢。用薤白一把，同米煮粥吃。
蒜,小、茆蒜、荤菜。,（根）辛、温、有小毒。,1、时气温病（初起头痛壮热，脉大）。用小蒜一升捣汁三合，一次服下。不愈，可再服一次。2、干霍乱（不得吐泻）。用小蒜一升，水三升煮取一升，一次服下。3、长年心痛，用小蒜煮成浓汁，勿沾盐，饱食，有效。
葫,、荤菜。,辛、温、有毒。久食损人目。,1、背疮。用大蒜十个、淡豉半合、乳香一钱，研细。疮上先铺湿纸，纸上铺药一层，厚约二分。艾灸百壮左右，痛灸至痒，痒灸至痛。2、大小便不通。用独蒜烧熟。去皮，棉裹，乘热放在下部，自通。3、水肿。用大蒜、田螺、车前子等分，熬膏，摊贴脐中，水从小便排出。数日即愈。
芸薹,寒菜、胡菜、薹菜、薹、油菜。,（茎、叶）辛、温、无毒。,1、赤火丹毒。用芸薹叶捣烂敷涂。2、天火热疮（初起如痱，渐如水泡，似火烧疮，赤色）。用芸薹叶捣滠汁。调大黄、硭硝、生铁衣等分，涂沧上。3、风热肿毒。用芸薹苗叶根、蔓菁根各三两，研为末。以鸡蛋清调和贴上，即可消肿。无蔓莆，用商陆代，甚有效。
芥,（茎、叶）辛、温、无毒。,暂无,1、牙龈肿烂。用芥菜秆烧存性，研为末，频敷患处即愈。2、漆疮。
白芥,胡、蜀芥。,（子）辛、温、无毒。,1、反胃上气。用白芥子末一、二钱，酒冲服。2、热痰烦晕。用白芥子、大戟、甘遂、硭硝、朱砂，等分为末，加糊做成丸子，如梧子大。每服二十丸，姜汤送下。此方名“白芥丸”。3、腹冷气起。用白芥子一升，微炒，研为末，加开水沁过的蒸饼做成丸子，如小豆大。每姜汤送下十丸，甚效。
芜菁,蔓菁、九英、诸葛菜。,（根、叶）苦、温、无毒。（子）苦、辛、平、无毒。,1、肿毒。用生蔓菁一把，加盐少许，一起捣烂敷患处，一天换三次。又方：用未沾水的蔓菁叶烧成灰，调猪油敷涂。2、乳痈寒热。取蔓菁根、叶，去土，不用水洗，和盐捣烂涂患处，药热即换。冬月只须用根即可。病人应避风。3、阴肿如斗。用生蔓菁根捣烂敷涂。
莱菔,紫花、温菘、土酥。,温、无毒。（根）辛、甘。（叶）辛、苦。,1、反胃。用蜂蜜煎萝卜细细嚼咽。2、肺痿咳血。用萝卜和羊肉或鲫鱼煮熟，频食，有效。3、鼻血不止。用萝卜捣汁半碗，加酒少许，热服，并以汁注入鼻中。或先将酒煎开，加萝卜再煎，饮服。
生姜,辛、微温、无毒。,暂无,1、疟疾寒热（脾胃聚痰，发为寒热）。和生姜四两，捣取自然汁一酒杯，璐一夜。发病日五更饮服即可止疟，未止再服。2、寒热痰嗽。初起时烧姜一块含咽。3、霍乱转筋，入腹欲死。用生姜三两，捣烂，加酒一升煮取三两，沸后服，同时以姜捣烂贴痛处。
