name,alias,smell,cure
蜂蜜,蜂糖。生岩石者名、石饴、岩蜜。,甘、平、无毒。,1、大便不通。用蜜二合，微为煎至饴糖状，乘热做成挺，长一寸们一端尖细。待冷变硬后，寒入肛门中，不久即可通便。2、产后口渴。用炼蜜不限量，熟水调服即止。3、隐疹作痒。用蜂蜜不限量，好酒调服。
蜜蜡,暂无,甘、微温、无毒。,1、赤白痢（腹痛难忍，里急后重）。用黄蜡三钱、阿胶三钱，同熔化，加黄连末五钱，搅匀，分三次热服。极效。此方名“仲景调气饮”。2、热痢及妇女产后下痢。用蜡两个子大小、职权胶二钱、当归二钱半、黄连三钱、黄蘖二钱、陈米半升，先用水三升，煮米至一升，去米入药，煎至一杯，温服。有特效。此方名“千金胶蜡汤”。3、肺虚咳嗽（体倦肌瘦，发热减食）。用黄蜡（熔滤令净，浆水煮过）八两、化作一百二十丸，以蛤粉四两为衣。每服一丸，加胡桃半个，细嚼。温水送下。服药后静卧一段时间，闭口不语。一天二次。此方名“立效丸”。
蜜蜂,蜡蜂。,（蜂子）甘、平、微寒、无毒。,风（须眉脱落，皮肉已烂成疮）。用、子，黄蜂子（并炒过）各取一分，、（并浸，去皮骨，炙干）、（去尾，炒）、（炒）各一两，（去土，炒）半两，（全用，炒）、赤足（全用，炒）各十五枚，一两，（熬）一分，半钱。以上各药，共研为末，每服一匙，温蜜汤调下。一天服三至五次。
土蜂,蜚零、蜂。,暂无,1、蜘蛛咬疮。用土蜂烧为末，调油敷涂。2、痈肿疮毒。用土蜂房一个、蛇蜕一条，黄泥封固，煅存性，研为末。每服一钱，空心服，酒送下。有腹痛反应，不必疑虑。
露蜂房,蜂肠、蜂窠、百穿、紫金沙。,甘、平、有毒。,1、小儿疾。用大蜂房一枚，加水三升煮成浓汁洗浴。一天洗三、四次。2、手足风痹。用黄蜂窠（即露蜂房）大者一个、或小者三、四个，烧成灰，加独蒜一碗，百草霜一钱半，一起捣烂敷痛。忌生冷劳腥。3、风虫牙痛。用露蜂房煎醋热漱。又方：用蜂房一枚，孔内以盐填实，烧后研为末，擦患处，待一会，盐汤漱增。或取一块咬齿间。又方：用露蜂房一个、乳香三块，煎水含漱。又方：用露蜂房同细辛煎水含漱。又方：用璐蜂房同蝎。研末擦患处。
艺翁,细腰蜂、蜾赢、蒲。,辛、平、无毒。,久聋、逆境，疗鼻窒，治呕逆。
虫白蜡,甘、温、无毒。,暂无,生肌，定痛补虚，续筋。
螳螂桑螵蛸,刀螂，拒斧、不过。其子房名螵蛸、蝉蛸、致神、野狐鼻涕。,（）咸、甘、平、无毒。,1、遗精白浊，盗汗虚劳。用桑螵蛸（炙）、白龙骨，等分为末。每服二钱，空心服，盐汤磅送下。2、小便不通。用桑螵蛸（炙黄）三十枚、黄芩二两，水煎，分二次服下。3、妊娠遗尿不禁。用桑螵蛸十二枚。研为末，分二次服，米汤送下。
蚕,自死干名。,咸、辛、平、无毒。,1、小儿惊风。用白僵蚕、蝎梢等分，天雄尖、附子尖各一钱，微泡为末。每服三分至半钱，以姜汤调灌。甚效。2、风痰喘嗽，夜不能卧。用白僵蚕（炒过，研细）、好茶末各一两，共研为末。每服五钱，临睡时开水泡服。3、喉风喉痹。用白僵蚕（炒）、白矾（半生半烧），等分为末。每服一钱，自然姜汁调灌，吐出顽痰，即效。小儿服，则加少许薄荷、生姜同调。又方：上方加白梅肉和成丸子棉裹含咽。又方：用白僵蚕（炒）半两、生甘草一钱，共研为末，姜汁调服，涎出立愈。又方：用白僵蚕二十枚、乳香一分，共捣研为末，每取一钱烧烟。熏入喉中，涎出即愈。
原蚕,晚、魏蚕、夏蚕、热蚕。,沙：甘、辛、温、无毒。雄：咸、温、有小毒。,雄原蚕蛾：1、阳萎。用蚕蛾二升，去头、翅、足，炒为末，加蜜做成丸子，如梧子大。每夜服一丸。如觉药力过猛。服菖蒲酒可以抑制。2、遗精白浊。用晚蚕蛾焙干，去翅足，研为末，加饭做成丸子，如绿豆大。每服四十丸，淡盐汤送下。引丸易腐湿。应常以火烘。
九香虫,黑兜虫。,咸、温、无毒。,膈脘滞气，脾肾亏损，元阳不足。用一两（半生焙），（微炒）、陈桔皮各四钱，（焙）五钱，（酥炙）八钱，人研为末，加炼蜜做成丸子，如梧子大。每服一钱五分，以盐开水或盐磅下，早晚各服一次。
樗鸡,、灰花蛾。,苦、平、有小毒。（不可近目）,1、子宫虚寒，月经不调。用樗鸡六十枚，大黄、皂荚、葶苈各一两，巴豆一百二十枚，共研为末，加枣肉做成丸子，如弹子大。棉裹塞阴道内，三日取出。每日以鸡蛋三枚、胡椒末二分，同炒吃，酒送下。久则子宫变暖。2、瘰疬结核。用樗鸡十四枚，乳香、砒霜各一钱，硇砂残半，黄丹五分，共研为末，加糯米粥和药作饼，贴患处。一月病愈。3、横痃便毒。用鸡蛋一个，开孔，放入樗鸡六个，纸饮煨熟。去樗鸡，只吃鸡蛋，酒送下。
斑蝥,斑、蝥虫、蚝、斑蚝。,辛、寒、有毒。,1、瘰疬不消。用斑蝥一个，去翅足，以粟一升，去粟，加薄荷四两，共研为末，。以乌鸡蛋调末做成丸子，如绿豆大。空心服，用茶送下三丸；加至五丸后，每日减服一丸；减至一丸后，每日服五丸，以消为度。又方：用斑蝥一枚。去翅足，微炙，空腹时节浆水或蜜水一碗送服。病重者服至七枚可愈。2、痈疽拔脓（痈疽不破，或破而肿硬无脓）。用斑蝥研为末，加蒜捣如膏药，调水贴患处。不久脓出，即去药。3、疔肿拔根。用斑蝥一枚捻破，在疮上划成米字形开口后，即将斑蝥封住，不久出根。
芫青,青娘子。,辛、微温、有毒。,主，利小便，水有瘰疬，下痰结，治目翳，制犬伤毒。余功同。
葛上亭长,暂无,辛、微温、有毒。,通血闭、症块、鬼胎，余功同。
地胆,青,辛、寒、有毒。,宣拔瘰疬，治疝积，余功同。
蜘蛛,次,微寒、有小毒。,1、婴儿口噤，不能吮乳，用蜘蛛一枚，去足，炙焦，研为末，加猪乳一合，和匀，分三次慢慢灌服。极效。2、泄痢脱肛，用大蜘蛛一个，瓠叶两重，包扎定，烧存性，加黄丹少许，共研为末。先以白矾葱椒煎汤洗，揩干后，再以药末摊布上，把脱肠轻轻托上收进。3、走马牙疳，出血用臭。用蜘蛛一枚、铜绿半钱、麝香少许，捣匀，擦患处。
壁钱,壁镜。,无毒。,1、喉痹乳蛾。用墙上壁钱七个，内要活蛛二枚，以白矾（一块约重七分）化开，一起烧存性，出火毒后研为末，吹入喉中，能治重病。忌食热肉、硬物。2、小儿呕逆。用壁钱虫窠幕（壁茧）十多枚，煮汁饮服。3、产后咳逆不止。用壁茧三、五个，煎汁细细饮服。
