name,alias,smell,cure
银,亦名白金、鋈。,，辛、平、有毒；生，辛、寒、无毒。,1、妊妇腰痛。用银一两、水三升，煎成二升服之。2、胎动欲坠。用银五两、根二两、清酒一碗、水一大碗，煎成一碗，湿服。3、风牙疼痛。用文银一两，烧红渍入一碗烧酒中，趁热漱口。
自然铜,亦或石髓。,辛、平、无毒。,1、心气痛。用自然铜，先经火煅（即烧红），然后醋淬（即蘸醋酒上去，令红消热退），淬后又煅，反复九次，最后研为细末。每次取一小提撮，调醋服。2、项下气瘿（项下皮肤，伸张成囊，囊内不是水，而是气）。用自然铜丢在水缸里，每天饮食，都用此水。日久，气瘿自消。或把自然铜烧成烟气，张口吸入亦可。3、暑湿瘫痪。用自然铜烧红，酒浸一夜，加炮过的川乌头，五灵脂、苍术（酒浸）各一两，当归二钱，共浸酒里。浸后取出，做成丸子，如梧子大。每服七丸，酒送下。吃到四肢麻木，是瘫痪快好的表现，可以停止服药。
铜青,亦名，即器上所生的绿色物。市上常用制铜，使生绿，收取晒干即可用。,酸、平、微毒。,1、风痰引起的突然昏倒或瘫痪。用铜青二两，研细，水飞去滓，慢火熬干，再加入麝身一分，以糯米粉糊成丸子，如弹丸大。每一丸，分两次服，薄荷酒送。若风痰未全好，可再用朱砂酒冲同量丸药服。要吐出青绿色涎水，泻下恶物，才算病愈。此方名“碧林丹”。治小儿的这种病，宜用“绿云丹”。方子是：用铜青研末，不定量，加醋面糊丸，如芡子大，每次用薄荷酒化服一丸，服后不久，吐涎如胶，即有效。2、烂眼。用水调铜青，涂在碗底，艾火熏干后，刮下来涂烂处。3、头发恶红，不断脱落。用油磨铜钱末涂抹即生。
铅,又名青金、黑、金公、水中金。,甘、寒、无毒。,1、明目、固牙、乌须发。用铅半斤，熔成汁，趁热加桑条灰，同时以柳木搅拌，使成沙状细末，再筛过，用筛取的细末揩牙，揩后漱口，即又漱口水洗眼，有明目、固齿、乌须发之效。2、肾气攻心，奔豚喘急，面黑欲死。用铅二两、石亭脂二两、木香一两、麝香一钱。先把铅熔化，加入石亭脂，急炒。焰起时，含醋喷之。炒毕，倾入先掘好的地坑中，盖好。等冷后取出研细，再加米饭，做成丸子，如芡子大。每服二丸，热酒送下。或身上出汗，或通便通气病即愈。如大便还不通，可再服一丸，加玄明粉五分同服。3、妇女血气冷痛攻心。可照上方服药。
铅霜,亦名。是铅杂十五分之一合炼作片放坛中密封而成，经久即成霜。,甘、酸、冷、无毒。,1、小儿惊热（心肺积热，夜卧多惊）。用铅霜、牛黄各半分，铁粉一分，研匀。每服四分之一钱，竹沥汁送下。2、惊风疾（喉闭，牙紧）。用铅霜四分之一钱，加蟾蜍少计，为末。以乌梅肉蘸药揩在牙龈上；同时，把通关药吹进口里里。过一阵，喉牙就松开了。3、消渴烦热。用铅霜、枯白矾等分，研细，调蜜做成丸子，如芡子大。每次用棉花包裹一料丸药放在口里，含化后，咽下药汁。又方：铅霜一两，根黄、硝石各一两，研末，每次用一钱，冷水送下。
粉锡,即粉，又有解、铅华、定粉、瓦粉、光粉、水粉、白粉、官粉、胡粉等名。旧日妇女用来擦脸。古人称铅为黑。,辛、寒、无毒。,1、劳复与食复（按：大病初愈，尚未恢复，便有性交，引起发烧、便赤、卵肿或缩入等症状，叫做“劳复”。因贪食而旧病复发，叫做“食复”）。用粉锡少许，水冲服。2、小儿脾泄不止。用红枣二十个，去核，将粉锡填入，在瓦上烘干，去枣留粉，再研细。每服三分，米汤送下。3、赤白痢。用粉锡一两，调鸡蛋清，和灸烘焦，研细。每次用冷水冲服一钱。
铅丹,又名、丹粉、朱粉、华。系用铅、、等合炼而成。,辛、微寒、无毒。,1、消渴烦乱。用铅丹一钱，新汲水送下。服药后，宜吃荞麦粥。2、吐逆不止。用铅丹四两，加米醋半斤，煎干，在炭火中煅红，冷定后，研为末，和米饭做成丸子，如梧子大。每服七丸，醋汤送下。此方名“碧霞丹”。3、小儿吐逆水上。用铅丹研末，加枣肉捣匀，做成丸子，如芡子大。针挑一丸，在灯上烧过，研为细末，乳汁调服。此方名“烧针丸”。另一配方：在烧针丸的药方中加朱砂、枯矾各少许。
密陀僧,亦名没多僧、炉底。,咸、辛、平、有小毒。,1、痰结胸中不散。用密陀僧一两，加醋和水各一碗，煎干，研为末。每服取末二钱，以酒和水各一小碗，煎成一碗，趁热服下。以吐出痰涎为好。2、消渴饮水。用密陀僧二两，研末，在开水中浸过，取出，加一点蒸饼做成丸子，如梧子大。服时用浓蚕茧盐汤、或茄根汤、或酒送下都行。第一天吃五丸，以后每天增加九丸，直到一次吃到三十丸为止，不可多服，五、六次后，如见水恶心，即可停药。恶心时可吃点干食压一下。3、赤白下痢。用密陀僧三两，烧成黄色，取出研细，每服一钱，醋茶送下，一天吃三次。
锡,又名白、贺。,甘、寒、微毒。,恶毒风疮。
铁,亦称黑金、。,熟：辛、平、有毒。生铁：辛、微寒、微毒。,熟铁：烧红投酒中，饮酒，可治贼风。生铁：1、脱肛。用生铁二斤，水一斗，煮至五升，洗肛门，一天两次。对脱肛多年不收的人都有效。
铁粉,乃钢飞炼而成。,咸、平、无毒。,1、惊发热。用铁粉少许，水调服。2、伤寒发狂，胡言乱走。用铁粉二两、龙胆草一两，共研细，磨刀水调服。每服大人一钱，小儿五分。3、疔疮。用铁粉一两、蔓青根三两，捣乱如泥，敷疮上。一天换两次。
铁落,亦名液、铁屑、铁蛾。打铁时，火花散飞，细微如屑，飞动如蛾。,辛、平、无毒。,1、小儿丹毒。用铁落研细，调猪油涂搽。2、善怒发狂，惊邪癫。用铁落煎水服。
铁精,亦称。出煅炉中，细如尘，以色紫质轻者为佳。,平、微湿。,1、下痢脱肛。用铁精粉敷扑。2、妇女阴脱。用铁精加羊脂，裹在布。
白石英,暂无,甘、微温、无毒。,1、风虚冷痹，肾虚耳聋。取磁石五两，经火煅、醋淬各五次，加白石英五两，装入绢袋，浸一升酒中，过五、六天后，分次温取。酒尽，可再添酒。2、惊悸善忘（上隔风热，心脏不安，宜化痰安神）。用白石英一两、朱砂一两，共研细。饭后煎金银汤送下。3、石水肿坚（按：病象是四肢瘦，肚子大，腹水胀如坚石）。用白石英十两，捶成豆子大，装入瓷瓶，浸酒二斗瓶口泥封，周围以马粪和糠火烧之，常令小沸。约六小时后停火。第二天开始服用，每次服酒大半杯。一天三次，酒尽后，可再加酒如上法烧一次。
水银,亦名汞、、灵液、姹女。,辛、寒、有毒。,1、急惊风。用水银半两、生南星一两、麝香半分，共研细，加石脑油，捣成泥，做丸子，如绿豆大。每服一丸，薄荷汤送下。2、反胃吐食。用黑铅、水银各一钱半，结砂、硫磺各五钱，官桂一钱，共研细，分两次服。一半米汤、一半姜汗，调在一个碗中把药送下。3、胆热鼻血。用水银、丹砂、麝香等分，研细，每服半钱，新汲水送下。
水银粉,亦名汞粉、、峭粉、腻粉。由、、合炼而成。,辛、苦、有毒。,1、小儿涎喘。用末受精的鸡收一个，取出蛋清，加水银粉十钱拌合。装银器内，放在汤瓶上蒸熟，给病儿服下，或吐痰，或下泄，病即愈。但水银有毒，气虚小儿，不能用此方。2、小儿呕乳。用水银粉一钱、盐鼓（去皮）七粒，共研匀，合成丸子，如麻子大。每服三丸。藿香汤送下。3、大小便闭（胀闷欲死，持续两三天，有生命危险）。用水银粉一钱、生麻油一合，和匀，空腹时服下。
