,support,confidence
d---b,0.2222222222222222,1.0
e---c,0.2222222222222222,1.0
e---a,0.2222222222222222,1.0
c---e---a,0.2222222222222222,1.0
a---e---c,0.2222222222222222,1.0
c---b,0.5555555555555556,0.8333333333333334
a---b,0.5555555555555556,0.8333333333333334
a---c---b,0.3333333333333333,0.75
c---a,0.4444444444444444,0.6666666666666666
a---c,0.4444444444444444,0.6666666666666666
b---c,0.5555555555555556,0.6250000000000001
b---a,0.5555555555555556,0.6250000000000001
b---c---a,0.3333333333333333,0.6
a---b---c,0.3333333333333333,0.6
